date,open,high,low,close,volume
2017-11-16 00:00:00+05:30,243.3,243.3,231.15,231.15,44615
2017-11-17 00:00:00+05:30,219.55,219.55,219.55,219.55,3800
2017-11-20 00:00:00+05:30,208.6,208.6,208.6,208.6,1506
2017-11-21 00:00:00+05:30,198.2,198.2,198.2,198.2,1366
2017-11-22 00:00:00+05:30,188.3,188.3,188.3,188.3,1557
2017-11-23 00:00:00+05:30,178.9,178.9,178.9,178.9,2432
2017-11-24 00:00:00+05:30,169.95,169.95,169.95,169.95,1999
2017-11-27 00:00:00+05:30,161.5,161.5,161.5,161.5,2519
2017-11-28 00:00:00+05:30,153.4,153.4,153.4,153.4,2003
2017-11-29 00:00:00+05:30,145.75,145.75,145.75,145.75,8446
2017-11-30 00:00:00+05:30,131.2,131.2,131.2,131.2,7828
2017-12-01 00:00:00+05:30,118.1,143.95,118.1,125.55,987189
2017-12-04 00:00:00+05:30,119.2,129.5,113.15,113.9,437456
2017-12-05 00:00:00+05:30,113.35,119.6,110.1,119.6,525480
2017-12-06 00:00:00+05:30,125.55,125.55,125.55,125.55,16818
2017-12-07 00:00:00+05:30,131.85,131.85,131.85,131.85,21262
2017-12-08 00:00:00+05:30,138.4,138.4,138.4,138.4,11032
2017-12-11 00:00:00+05:30,145.3,145.3,145.3,145.3,2834
2017-12-12 00:00:00+05:30,152.55,152.55,152.55,152.55,126779
2017-12-13 00:00:00+05:30,160.15,160.15,160.15,160.15,4216
2017-12-14 00:00:00+05:30,168.15,168.15,168.15,168.15,7440
2017-12-15 00:00:00+05:30,176.55,176.55,176.55,176.55,2183
2017-12-18 00:00:00+05:30,185.35,185.35,185.35,185.35,34247
2017-12-19 00:00:00+05:30,194.6,194.6,194.6,194.6,5182
2017-12-20 00:00:00+05:30,204.3,204.3,204.3,204.3,1000
2017-12-21 00:00:00+05:30,214.5,214.5,214.5,214.5,6433
2017-12-22 00:00:00+05:30,225.2,225.2,225.2,225.2,3035
2017-12-26 00:00:00+05:30,236.45,236.45,236.45,236.45,1483
2017-12-27 00:00:00+05:30,248.25,248.25,224.65,228.1,208041
2017-12-28 00:00:00+05:30,223.15,236.0,217.5,217.95,137043
2017-12-29 00:00:00+05:30,218.25,228.85,218.25,228.7,83430
2018-01-01 00:00:00+05:30,232.95,232.95,217.3,217.4,53456
2018-01-02 00:00:00+05:30,217.15,221.9,206.55,206.55,41425
2018-01-03 00:00:00+05:30,198.05,211.55,198.05,202.25,56116
2018-01-04 00:00:00+05:30,202.0,212.05,201.65,205.4,24955
2018-01-05 00:00:00+05:30,210.4,214.1,198.9,201.15,33981
2018-01-08 00:00:00+05:30,206.75,211.2,202.15,211.2,23090
2018-01-09 00:00:00+05:30,221.75,221.75,214.1,221.75,74856
2018-01-10 00:00:00+05:30,226.5,226.5,214.1,216.6,69834
2018-01-11 00:00:00+05:30,218.95,227.4,212.9,227.4,74093
2018-01-12 00:00:00+05:30,223.85,224.5,216.05,218.3,73835
2018-01-15 00:00:00+05:30,219.25,221.4,212.9,215.35,24816
2018-01-16 00:00:00+05:30,217.15,217.75,204.95,206.15,27135
2018-01-17 00:00:00+05:30,199.15,206.75,196.15,199.85,17983
2018-01-18 00:00:00+05:30,203.15,209.8,195.35,201.65,96946
2018-01-19 00:00:00+05:30,205.55,205.55,192.25,200.5,25315
2018-01-22 00:00:00+05:30,202.35,206.2,195.85,196.85,11282
2018-01-23 00:00:00+05:30,196.85,199.25,191.6,192.9,25926
2018-01-24 00:00:00+05:30,192.0,198.25,186.5,189.55,27876
2018-01-25 00:00:00+05:30,191.6,193.4,183.8,187.2,13301
2018-01-29 00:00:00+05:30,188.55,192.8,188.4,188.65,8148
2018-01-30 00:00:00+05:30,182.6,191.0,179.45,182.45,5917
2018-01-31 00:00:00+05:30,179.6,185.5,174.55,176.5,15154
2018-02-01 00:00:00+05:30,174.55,185.35,174.55,185.35,13914
2018-02-02 00:00:00+05:30,192.8,192.8,176.1,176.1,13891
2018-02-05 00:00:00+05:30,167.3,177.6,167.3,175.0,14656
2018-02-06 00:00:00+05:30,166.25,166.3,166.25,166.25,5061
2018-02-07 00:00:00+05:30,164.85,174.55,164.85,172.3,8336
2018-02-08 00:00:00+05:30,171.5,176.4,171.5,173.2,8063
2018-02-09 00:00:00+05:30,165.45,181.25,165.45,176.85,12681
2018-02-12 00:00:00+05:30,179.45,183.7,173.95,179.35,26156
2018-02-14 00:00:00+05:30,187.35,188.3,170.9,188.3,13758
2018-02-15 00:00:00+05:30,197.65,197.7,197.65,197.7,5968
2018-02-16 00:00:00+05:30,206.05,207.6,201.3,207.6,41355
2018-02-19 00:00:00+05:30,207.6,215.9,197.65,202.05,40986
2018-02-20 00:00:00+05:30,200.15,204.65,197.65,203.1,29991
2018-02-21 00:00:00+05:30,202.65,213.25,202.65,213.25,14033
2018-02-22 00:00:00+05:30,220.95,223.9,212.0,223.9,42563
2018-02-23 00:00:00+05:30,231.05,231.05,216.7,225.4,56982
2018-02-26 00:00:00+05:30,233.55,236.0,220.2,225.35,62797
2018-02-27 00:00:00+05:30,223.95,226.25,216.0,217.45,12729
2018-02-28 00:00:00+05:30,211.75,217.45,211.75,212.8,8449
2018-03-01 00:00:00+05:30,215.9,215.9,206.85,210.65,2999
2018-03-05 00:00:00+05:30,200.1,212.25,200.1,209.55,1700
2018-03-06 00:00:00+05:30,211.65,212.9,201.0,205.05,7052
2018-03-07 00:00:00+05:30,195.85,208.0,194.8,195.65,10026
2018-03-08 00:00:00+05:30,185.9,203.7,185.9,191.7,15335
