date,open,high,low,close,volume
2022-10-19 00:00:00+05:30,195.3,195.3,185.55,185.55,5524457
2022-10-20 00:00:00+05:30,176.25,176.25,176.25,176.25,1710868
2022-10-21 00:00:00+05:30,167.5,167.5,167.5,167.5,292732
2022-10-24 00:00:00+05:30,165.55,175.35,159.15,161.05,2016743
2022-10-25 00:00:00+05:30,153.05,169.05,153.05,167.4,10418482
2022-10-27 00:00:00+05:30,162.25,165.9,159.05,159.05,7691625
2022-10-28 00:00:00+05:30,152.9,158.9,151.1,154.75,11046357
2022-10-31 00:00:00+05:30,147.45,162.45,147.45,161.05,8406308
2022-11-01 00:00:00+05:30,159.5,168.65,153.85,155.25,51123351
2022-11-02 00:00:00+05:30,159.2,163.05,158.45,163.05,10428195
2022-11-03 00:00:00+05:30,163.0,174.75,156.6,170.9,24036343
2022-11-04 00:00:00+05:30,170.9,173.45,164.4,165.6,5857366
2022-11-07 00:00:00+05:30,167.3,167.95,157.3,160.05,6930941
2022-11-09 00:00:00+05:30,152.35,157.25,151.6,152.95,6532591
2022-11-10 00:00:00+05:30,151.35,153.7,132.8,139.6,15605997
2022-11-11 00:00:00+05:30,141.55,143.15,134.85,137.4,4242982
2022-11-14 00:00:00+05:30,138.65,140.35,135.0,136.25,2646679
2022-11-15 00:00:00+05:30,137.25,138.4,135.25,136.0,2242791
2022-11-16 00:00:00+05:30,136.1,137.5,130.15,130.65,4184279
2022-11-17 00:00:00+05:30,130.7,131.85,122.25,123.7,5379414
2022-11-18 00:00:00+05:30,124.85,136.0,123.05,132.85,7237117
2022-11-21 00:00:00+05:30,133.75,137.1,130.2,130.8,4529906
2022-11-22 00:00:00+05:30,131.55,132.15,125.25,125.75,3131345
2022-11-23 00:00:00+05:30,126.45,130.6,126.35,130.05,2455649
2022-11-24 00:00:00+05:30,130.85,131.95,128.8,129.55,1200498
2022-11-25 00:00:00+05:30,129.9,134.55,129.45,130.45,2125723
2022-11-28 00:00:00+05:30,131.45,133.35,128.55,129.0,2813168
2022-11-29 00:00:00+05:30,129.4,137.1,129.4,132.5,4370919
2022-11-30 00:00:00+05:30,132.65,133.3,130.4,131.15,2516534
2022-12-01 00:00:00+05:30,131.85,142.4,130.7,134.7,10228160
2022-12-02 00:00:00+05:30,135.4,138.95,133.75,137.5,2354938
2022-12-05 00:00:00+05:30,138.3,140.5,137.25,138.7,2321881
2022-12-06 00:00:00+05:30,138.7,140.05,133.75,133.95,3107676
2022-12-07 00:00:00+05:30,134.55,135.2,130.2,131.4,1784799
2022-12-08 00:00:00+05:30,131.7,133.5,128.9,129.65,2632246
2022-12-09 00:00:00+05:30,129.9,132.05,128.05,128.65,1894654
2022-12-12 00:00:00+05:30,128.85,132.25,127.95,131.1,1650186
2022-12-13 00:00:00+05:30,131.25,131.8,128.8,129.0,1555439
2022-12-14 00:00:00+05:30,129.4,130.65,128.4,128.7,1853347
2022-12-15 00:00:00+05:30,129.1,129.9,126.35,126.85,2824747
2022-12-16 00:00:00+05:30,127.35,127.35,124.1,124.75,1734023
2022-12-19 00:00:00+05:30,125.0,125.75,123.05,123.65,1235919
2022-12-20 00:00:00+05:30,124.15,124.4,121.65,122.45,1849100
2022-12-21 00:00:00+05:30,123.1,124.95,118.6,118.9,3690309
2022-12-22 00:00:00+05:30,119.15,122.95,118.15,118.55,2714524
2022-12-23 00:00:00+05:30,118.15,119.9,110.4,111.8,3016795
2022-12-26 00:00:00+05:30,112.3,115.5,111.4,113.85,2348941
2022-12-27 00:00:00+05:30,114.8,115.8,113.0,113.35,1852215
2022-12-28 00:00:00+05:30,113.9,113.9,111.6,111.8,1614680
2022-12-29 00:00:00+05:30,111.85,114.95,110.55,113.8,2568921
2022-12-30 00:00:00+05:30,114.4,115.95,111.7,111.95,2269931
2023-01-02 00:00:00+05:30,112.75,120.35,111.95,119.65,4101710
2023-01-03 00:00:00+05:30,121.4,123.65,120.55,121.0,3952844
2023-01-04 00:00:00+05:30,120.95,120.95,115.95,117.1,3043383
2023-01-05 00:00:00+05:30,117.7,117.95,115.25,115.9,1702178
2023-01-06 00:00:00+05:30,116.4,116.45,111.9,113.0,2301756
2023-01-09 00:00:00+05:30,113.5,116.2,113.5,114.05,2475346
2023-01-10 00:00:00+05:30,114.45,117.7,114.1,116.25,5372397
2023-01-11 00:00:00+05:30,116.95,118.05,113.55,113.95,3626302
2023-01-12 00:00:00+05:30,113.9,114.9,112.55,113.2,2083915
2023-01-13 00:00:00+05:30,113.6,115.6,113.3,114.65,1332071
2023-01-16 00:00:00+05:30,114.55,116.6,112.7,113.7,1981644
2023-01-17 00:00:00+05:30,113.9,114.65,111.75,112.75,1003149
2023-01-18 00:00:00+05:30,113.35,113.85,112.3,112.6,941681
2023-01-19 00:00:00+05:30,112.0,112.7,110.05,110.65,1552080
2023-01-20 00:00:00+05:30,109.55,113.45,109.55,110.25,1771304
2023-01-23 00:00:00+05:30,110.8,111.2,107.5,108.7,1853393
2023-01-24 00:00:00+05:30,108.95,109.55,106.2,107.35,1856843
2023-01-25 00:00:00+05:30,106.45,107.4,104.4,105.75,1319032
2023-01-27 00:00:00+05:30,105.75,105.75,99.5,100.45,2741438
2023-01-30 00:00:00+05:30,100.3,102.8,99.0,99.6,3468057
2023-01-31 00:00:00+05:30,99.6,105.0,99.6,102.5,5245094
2023-02-01 00:00:00+05:30,103.2,103.3,97.45,98.1,2012148
2023-02-02 00:00:00+05:30,98.1,101.55,96.8,97.65,2042523
2023-02-03 00:00:00+05:30,97.75,100.9,95.0,98.25,2239787
2023-02-06 00:00:00+05:30,98.75,100.05,96.9,97.95,2194274
2023-02-07 00:00:00+05:30,98.15,98.6,95.0,95.75,1997322
2023-02-08 00:00:00+05:30,96.25,97.35,95.4,96.85,2193574
2023-02-09 00:00:00+05:30,92.75,92.75,85.5,87.25,12461683
2023-02-10 00:00:00+05:30,87.3,90.6,80.65,86.35,18789651
2023-02-13 00:00:00+05:30,88.05,89.1,83.35,83.85,4285673
2023-02-14 00:00:00+05:30,84.0,84.75,82.55,83.7,2414709
2023-02-15 00:00:00+05:30,83.55,85.7,83.5,84.7,1882894
2023-02-16 00:00:00+05:30,85.35,90.15,82.7,89.25,6934341
2023-02-17 00:00:00+05:30,89.25,92.7,88.15,89.2,5051744
2023-02-20 00:00:00+05:30,88.9,89.55,86.25,86.65,1938992
2023-02-21 00:00:00+05:30,87.0,87.05,83.7,84.5,2604021
2023-02-22 00:00:00+05:30,84.0,84.2,81.95,82.15,2286103
2023-02-23 00:00:00+05:30,82.15,82.6,80.3,81.1,1567325
2023-02-24 00:00:00+05:30,81.55,81.95,79.8,80.4,1542938
2023-02-27 00:00:00+05:30,80.35,80.35,77.15,77.95,3826239
2023-02-28 00:00:00+05:30,78.15,78.75,76.45,76.95,1721752
2023-03-01 00:00:00+05:30,77.05,79.4,76.4,78.1,2359737
2023-03-02 00:00:00+05:30,78.15,78.95,76.4,76.95,1962624
2023-03-03 00:00:00+05:30,77.35,77.6,76.05,76.35,2944085
2023-03-06 00:00:00+05:30,76.7,77.45,76.05,76.3,2832560
2023-03-08 00:00:00+05:30,76.25,76.25,74.2,74.35,3875671
2023-03-09 00:00:00+05:30,74.7,74.85,72.65,72.9,4246834
2023-03-10 00:00:00+05:30,72.5,72.5,70.3,70.55,4450988
2023-03-13 00:00:00+05:30,70.2,72.55,67.95,68.25,8002272
2023-03-14 00:00:00+05:30,68.6,70.25,66.05,67.1,5793865
2023-03-15 00:00:00+05:30,68.35,71.0,67.4,67.75,11699005
2023-03-16 00:00:00+05:30,67.4,68.5,66.6,67.3,3962580
2023-03-17 00:00:00+05:30,67.8,69.1,65.05,65.5,4857158
2023-03-20 00:00:00+05:30,66.8,66.8,64.65,65.7,3507751
2023-03-21 00:00:00+05:30,66.1,69.25,66.0,67.1,5393158
2023-03-22 00:00:00+05:30,67.45,68.8,66.6,66.85,3851524
2023-03-23 00:00:00+05:30,67.05,68.75,65.95,68.2,4706371
2023-03-24 00:00:00+05:30,68.25,68.7,65.95,66.15,2247341
2023-03-27 00:00:00+05:30,66.4,66.4,62.7,63.45,3894687
2023-03-28 00:00:00+05:30,63.55,63.9,61.6,62.45,5012492
2023-03-29 00:00:00+05:30,62.75,66.3,61.7,65.5,5167691
2023-03-31 00:00:00+05:30,66.05,69.15,66.05,66.85,6225202
2023-04-03 00:00:00+05:30,67.65,71.0,67.6,70.2,5564649
2023-04-05 00:00:00+05:30,71.05,71.55,68.85,69.35,3894460
2023-04-06 00:00:00+05:30,68.95,69.0,67.9,68.35,2518676
2023-04-10 00:00:00+05:30,68.35,68.75,67.45,68.25,3393966
2023-04-11 00:00:00+05:30,68.6,69.15,67.1,67.6,2992154
2023-04-12 00:00:00+05:30,67.85,72.6,67.45,70.95,7941438
2023-04-13 00:00:00+05:30,71.3,71.8,69.5,69.8,2596223
2023-04-17 00:00:00+05:30,70.05,70.7,69.35,69.8,1712321
2023-04-18 00:00:00+05:30,70.1,71.2,69.55,70.15,3478178
2023-04-19 00:00:00+05:30,71.85,77.4,71.85,75.75,25755748
2023-04-20 00:00:00+05:30,76.5,76.8,71.95,72.45,7464939
2023-04-21 00:00:00+05:30,72.35,73.95,71.0,72.4,5324688
2023-04-24 00:00:00+05:30,72.7,72.75,69.8,69.95,4054142
2023-04-25 00:00:00+05:30,70.25,70.35,68.65,69.0,3293105
2023-04-26 00:00:00+05:30,69.1,69.65,67.9,68.05,3285927
2023-04-27 00:00:00+05:30,68.6,68.95,67.9,68.35,2065802
2023-04-28 00:00:00+05:30,68.75,69.9,68.75,69.15,3633576
