date,open,high,low,close,volume
2023-05-10 00:00:00+05:30,240.0,240.0,211.0,220.95,39399
2023-05-11 00:00:00+05:30,239.0,259.95,232.0,256.75,187342
2023-05-12 00:00:00+05:30,266.0,270.0,227.0,240.0,230608
2023-05-15 00:00:00+05:30,239.95,252.0,223.6,236.8,78641
2023-05-16 00:00:00+05:30,238.7,246.0,231.6,235.35,57035
2023-05-17 00:00:00+05:30,235.5,250.0,235.5,239.95,88043
2023-05-18 00:00:00+05:30,249.8,249.8,235.25,240.45,59693
2023-05-19 00:00:00+05:30,247.0,247.0,236.1,238.4,33996
2023-05-22 00:00:00+05:30,241.0,241.0,225.6,229.5,62007
2023-05-23 00:00:00+05:30,239.0,239.0,218.05,233.8,21242
2023-05-24 00:00:00+05:30,238.95,240.0,226.0,231.25,24519
2023-05-25 00:00:00+05:30,233.9,238.9,223.55,232.15,19057
2023-05-26 00:00:00+05:30,237.5,238.75,228.0,229.7,12559
2023-05-29 00:00:00+05:30,234.9,240.0,218.25,229.65,25540
2023-05-30 00:00:00+05:30,228.95,229.65,225.0,228.45,2464
2023-05-31 00:00:00+05:30,234.5,234.5,221.0,225.1,8388
2023-06-01 00:00:00+05:30,232.95,232.95,218.55,220.5,6171
2023-06-02 00:00:00+05:30,223.0,229.0,222.0,225.25,7637
2023-06-05 00:00:00+05:30,230.0,236.5,227.0,230.9,25934
2023-06-06 00:00:00+05:30,234.7,234.7,224.05,225.8,15182
2023-06-07 00:00:00+05:30,229.95,229.95,221.2,224.3,12372
2023-06-08 00:00:00+05:30,225.8,225.8,215.2,219.45,12859
2023-06-09 00:00:00+05:30,221.9,222.9,215.0,218.35,7192
2023-06-12 00:00:00+05:30,220.0,222.7,215.15,218.6,9606
2023-06-13 00:00:00+05:30,220.0,222.7,215.2,216.8,5374
2023-06-14 00:00:00+05:30,218.8,227.0,215.0,224.15,8362
2023-06-15 00:00:00+05:30,228.75,235.35,223.05,235.35,18541
2023-06-16 00:00:00+05:30,247.0,247.1,240.0,247.1,39163
2023-06-19 00:00:00+05:30,255.0,259.0,234.85,239.85,17831
2023-06-20 00:00:00+05:30,242.95,251.3,234.0,247.15,17107
2023-06-21 00:00:00+05:30,248.0,249.0,235.1,239.6,10818
2023-06-22 00:00:00+05:30,243.85,243.85,233.0,237.95,3110
