date,open,high,low,close,volume
2015-04-17 00:00:00+05:30,24.0,24.65,24.0,24.65,250
2015-04-20 00:00:00+05:30,25.85,25.85,25.85,25.85,50
2015-04-21 00:00:00+05:30,27.1,27.1,27.1,27.1,1
2015-04-22 00:00:00+05:30,28.45,28.45,28.45,28.45,24
2015-04-24 00:00:00+05:30,29.85,29.85,29.85,29.85,686
2015-04-27 00:00:00+05:30,31.3,31.3,31.3,31.3,55
2015-04-28 00:00:00+05:30,31.3,32.85,31.3,32.85,350
2015-04-29 00:00:00+05:30,34.29,34.45,34.29,34.45,1559
2015-04-30 00:00:00+05:30,36.0,36.15,33.25,33.25,5951
2015-05-04 00:00:00+05:30,34.9,34.9,32.0,32.0,100
2015-05-08 00:00:00+05:30,30.6,30.6,30.6,30.6,60
2015-05-13 00:00:00+05:30,32.0,32.0,32.0,32.0,1
2015-05-25 00:00:00+05:30,32.0,32.0,32.0,32.0,130
2015-05-26 00:00:00+05:30,33.6,33.6,32.0,32.0,3584
2015-05-27 00:00:00+05:30,33.6,33.6,33.6,33.6,245
2015-05-28 00:00:00+05:30,35.25,35.25,35.25,35.25,50
2015-05-29 00:00:00+05:30,37.0,37.0,37.0,37.0,200
2015-06-01 00:00:00+05:30,38.85,38.85,38.85,38.85,200
2015-06-02 00:00:00+05:30,40.75,40.75,40.75,40.75,100
2015-06-03 00:00:00+05:30,42.75,42.75,42.75,42.75,305
2015-06-04 00:00:00+05:30,44.5,44.5,44.5,44.5,5
2015-06-05 00:00:00+05:30,45.9,45.9,42.5,45.9,7
2015-06-08 00:00:00+05:30,44.0,45.0,44.0,45.0,150
2015-06-09 00:00:00+05:30,47.0,47.0,43.75,43.75,50
2015-06-19 00:00:00+05:30,45.75,45.75,45.75,45.75,545
2015-06-22 00:00:00+05:30,46.0,46.0,46.0,46.0,5
2015-06-29 00:00:00+05:30,43.7,47.8,43.7,47.8,324
2015-07-01 00:00:00+05:30,45.45,48.0,45.45,46.15,85
2015-07-02 00:00:00+05:30,46.7,46.7,46.7,46.7,15
2015-07-03 00:00:00+05:30,44.4,44.4,44.4,44.4,104
2015-07-06 00:00:00+05:30,42.2,42.2,42.2,42.2,100
2015-07-07 00:00:00+05:30,40.1,44.3,40.1,41.0,378
2015-07-13 00:00:00+05:30,39.95,39.95,39.95,39.95,20
2015-07-16 00:00:00+05:30,38.0,41.0,38.0,41.0,201
2015-07-21 00:00:00+05:30,43.0,43.0,39.0,40.0,1836
2015-07-22 00:00:00+05:30,39.0,41.0,38.04,40.0,1000
2015-07-23 00:00:00+05:30,42.0,42.0,38.29,42.0,645
2015-07-24 00:00:00+05:30,40.1,43.45,40.0,40.15,840
2015-07-27 00:00:00+05:30,40.25,40.25,40.0,40.0,1614
2015-07-28 00:00:00+05:30,42.0,42.0,38.0,42.0,1506
2015-07-29 00:00:00+05:30,40.0,43.75,40.0,43.75,2001
2015-07-30 00:00:00+05:30,41.65,41.65,41.6,41.6,3000
2015-07-31 00:00:00+05:30,40.0,43.6,40.0,43.6,326
2015-08-03 00:00:00+05:30,41.7,45.0,41.7,45.0,3014
2015-08-04 00:00:00+05:30,45.0,47.25,45.0,46.0,1177
2015-08-05 00:00:00+05:30,42.0,42.0,42.0,42.0,75
2015-08-06 00:00:00+05:30,44.0,44.0,44.0,44.0,100
2015-08-07 00:00:00+05:30,43.0,43.0,42.05,42.7,1000
2015-08-19 00:00:00+05:30,44.0,44.8,40.6,43.8,25
2015-08-24 00:00:00+05:30,41.65,44.0,41.65,41.65,368
2015-08-28 00:00:00+05:30,41.65,41.65,41.65,41.65,10
2015-09-04 00:00:00+05:30,39.6,39.6,39.6,39.6,51
2015-09-07 00:00:00+05:30,37.65,37.65,37.65,37.65,6
2015-09-08 00:00:00+05:30,39.0,39.0,35.79,35.79,266
2015-09-09 00:00:00+05:30,34.04,37.25,34.04,34.35,135
2015-09-10 00:00:00+05:30,33.0,33.0,33.0,33.0,10
2015-09-14 00:00:00+05:30,34.65,34.65,32.4,32.4,11
2015-09-16 00:00:00+05:30,34.0,34.0,34.0,34.0,423
2015-09-18 00:00:00+05:30,33.15,33.15,33.15,33.15,25
